"Filename",14_08082202.mzData,25_22.mzData,15_2210.mzData,16_11665.mzData,23_16.mzData,24_D8o822B4.mzData,22_13.mzData,32_09082201.mzData,39_07082204.mzData,11_Grupo_control_1.mzData,20_Grupo_control_1.mzData,33_51480.mzData,46_15.mzData,26_Grupo_control_1.mzData,36_Grupo_control_1.mzData,44_Grupo_control_1.mzData,38_21.mzData,41_20.mzData,48_51468.mzData,47_51467.mzData,50_Grupo_control_1.mzData,30_08082205.mzData
run_date,,,,,,,,,,,,,,,,,,,,,,
11590/53.0161mz/34.28min,,,,,,,,,,,1431.9912109375,,,,,,,,,,,
5058/53.0170mz/19.35min,,,,,,,,,,,2488.98046875,,,,,,,,,,,
4070/53.0197mz/17.24min,,,,,,,,,,,,3477.919189453125,,,,,,,,,,
382/53.0235mz/4.21min,,1245.9901123046875,,,,,,,,,,,,,,,,,,,,
12141/53.0252mz/35.22min,,,,,,,747.9932861328125,,,,,,,,,,,,,,,
398/53.0315mz/4.22min,,,,,,,,,,,2620.98193359375,,,,,,,,,,,
2418/53.0392mz/10.41min,,,,,,,1447.992919921875,,,,,,,,,,,,,,,
2276/53.0493mz/9.82min,,,,3159.0,,2264.960693359375,,621.0,1858.0,,,745.0,,1167.0,,,,1129.0,,450.0,,
1136/54.0000mz/5.92min,4006.0,,1897.0,273.0,2399.0,,242.0,2145.0,228.0,2510.0,185.0,2065.0,2950.979736328125,209.0,2932.0,311.0,615.0,14314.0,7991.0,1514.0,3198.0,582.0
1138/54.0000mz/5.92min,4006.0,,1897.0,218.0,2399.0,703.0,242.0,2145.0,228.0,2510.0,185.0,2065.0,2951.0,209.0,2932.0,311.0,615.0,14314.0,7991.0,1514.0,3197.970947265625,582.0
3309/54.0000mz/13.92min,185.0,124.0,175.0,201.0,140.0,106.0,166.0,143.0,143.0,3804.0,3215.0,,162.0,2745.0,3322.0,4831.0,233.0,727.0,161.0,174.0,4341.875,444.0
3415/54.0000mz/14.35min,958.0,127.0,797.997314453125,207.0,127.0,527.0,188.0,134.0,1430.0,836.0,959.0,,132.0,836.0,1012.0,1083.9912109375,580.0,2862.0,633.0,170.0,1018.0,518.0
1433/54.0000mz/6.60min,3294.0,201.0,1175.0,351.0,201.0,,,2052.0,321.0,130074.0,382.0,2263.0,2605.990478515625,,128703.0,,866.0,3750.0,2393.0,1186.0,25320.099609375,524.0
286/54.0000mz/3.95min,225.0,127.0,132.0,196.0,193.0,137.0,145.0,142.0,145.0,3750.0,4103.0,199.0,196.0,3834.0,3936.9345703125,4567.0,186.0,273.0,242.0,180.0,4703.0,335.0
1174/54.0000mz/5.95min,,5359.0,,3350.0,2399.0,703.0,3820.0,2145.0,2820.0,2510.0,,1591.0,,3378.0,,4305.9462890625,514.0,,,1258.0,,1790.0
275/54.0000mz/3.94min,214.0,127.0,130.0,193.0,172.0,137.0,174.0,142.0,145.0,3750.0,4103.0,199.0,186.0,3834.0,3937.0,4566.91650390625,167.0,255.0,242.0,156.0,4703.0,
1445/54.0004mz/6.63min,,204.0,,2837.99072265625,1071.0,601.0,1698.0,1551.0,2069.99658203125,36093.01953125,,1330.0,,127809.0,,166089.0,866.0,,,,,2520.99609375
